,type,location,price,area,link
85,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","7,500,000",171 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-3396738.html
86,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4,500,000",210 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-3394272.html
87,Apartment,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,570,250",175 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-stone-residence-3428970.html
88,Duplex,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5,775,000",236 ,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-3417171.html
89,Villa,"Madinaty, Cairo","6,800,000",267 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-madinaty-3261599.html
90,Penthouse,"Granda Life, El Shorouk Compounds, Shorouk City, Cairo","2,875,000",193 ,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-shorouk-city-el-shorouk-compounds-granda-life-3330167.html
91,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4,000,000",188 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-3287829.html
92,Villa,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","24,000,000",600 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-3417093.html
93,Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5,800,000",175 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-3421832.html
94,Apartment,"Roses, New Capital Compounds, New Capital City, Cairo","1,540,000",175 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-roses-3199064.html
95,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo","2,200,000",160 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-3327245.html
96,Penthouse,"Fifth Square, North Investors Area, New Cairo City, Cairo","4,700,000",174 ,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-north-investors-area-fifth-square-3287682.html
97,Villa,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","17,000,000",777 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-3376427.html
98,Villa,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo","33,000,000",450 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-katameya-heights-3344927.html
99,Villa,"Stei8ht, The 1st Settlement, New Cairo City, Cairo","14,800,000",330 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-1st-settlement-stei8ht-3418359.html
100,Villa,"Stei8ht, The 1st Settlement, New Cairo City, Cairo","14,800,000",330 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-1st-settlement-stei8ht-3418359.html
